symbol,kind,alert_count,first_ts_utc,last_ts_utc,avg_mark,avg_funding_pct,avg_oi,avg_cvd_5m,avg_basis_pct,avg_taker_buy_pct_5m,latest_message
bnb-usdc,FLOW_CLUSTER,45,2026-04-24T19:31:44.986000+00:00,2026-04-24T23:16:01.060000+00:00,637.242222222,0.00125,45767.4462667,-656.289638222,-0.0060470749009,39.9518345673,"SELL flow cluster @ 637.7930  x23  $17,164"
bnb-usdc,GRINDING_TRAP,6,2026-04-24T19:48:36.831000+00:00,2026-04-24T23:18:39.860000+00:00,637.713333333,0.00125,45769.6026667,-2418.317715,0.97526275159,16.6988231649,px +0.09% 15m (1.8σ)  CVD -0.00M  fund +0.0013%  FΔ +0.0000%  OI +0.01% 15m
btc-usdc,FLOW_CLUSTER,46,2026-04-24T19:31:08.058000+00:00,2026-04-24T23:16:22.510000+00:00,77518.1956522,0.000971832826087,27539.3799787,219274.291526,-0.0895579404572,54.1392282175,"BUY flow cluster @ 77,335.0000  x8623  $25,855,605"
btc-usdc,GRINDING_TRAP,1,2026-04-24T21:03:26.117000+00:00,2026-04-24T21:03:26.117000+00:00,77684,0.00125,27545.36568,-817911.18686,-0.0739630699176,31.5693002737,px +0.10% 15m (1.0σ)  CVD -0.82M  fund +0.0013%  FΔ +0.0002%  OI +0.28% 15m
doge-usdc,FLOW_CLUSTER,46,2026-04-24T19:32:16.912000+00:00,2026-04-24T23:17:31.306000+00:00,0.0983882173913,0.00125,326905363.261,-4106.14150185,-0.032877206537,36.9552647999,"SELL flow cluster @ 0.0980  x115  $101,236"
doge-usdc,THIN_BOOK,5,2026-04-24T20:01:21.119000+00:00,2026-04-24T22:12:55.907000+00:00,0.0984988,0.00125,327150980.4,-7081.0946842,-0.0326970912498,39.5141196939,impact excess 8.0bp over spread
doge-usdc,GRINDING_TRAP,1,2026-04-24T20:47:10.165000+00:00,2026-04-24T20:47:10.165000+00:00,0.098437,0.00125,327790048,-3727.542395,-0.038588474232,3.35887904937,px +0.21% 15m (1.1σ)  CVD -0.00M  fund +0.0013%  FΔ +0.0000%  OI +0.45% 15m
eth-usdc,FLOW_CLUSTER,45,2026-04-24T19:34:08.640000+00:00,2026-04-24T23:14:19.866000+00:00,2316.80222222,-1.25866666667e-05,422355.814542,4695.44408111,-0.103870684838,43.4371109375,"BUY flow cluster @ 2,311.0866  x1448  $6,857,306"
eth-usdc,THIN_BOOK,2,2026-04-24T21:14:30.887000+00:00,2026-04-24T21:35:31.617000+00:00,2317.9,-8.125e-05,423052.9869,-1403238.02336,-0.0107855782919,18.4169604252,impact excess 8.3bp over spread
icp-usdc,THIN_BOOK,42,2026-04-24T19:30:43.807000+00:00,2026-04-24T23:15:11.311000+00:00,2.46634047619,0.000696407619048,764473.280952,207.504352857,-0.0894206443516,52.1561934072,impact excess 9.0bp over spread
icp-usdc,GRINDING_TRAP,8,2026-04-24T20:00:14.980000+00:00,2026-04-24T21:12:50.555000+00:00,2.4780375,0.00125,764278.65,-265.79686875,-0.090734929797,33.0932693945,px +0.24% 15m (1.1σ)  CVD -0.00M  fund +0.0013%  FΔ +0.0000%  OI +0.10% 15m
icp-usdc,FLOW_CLUSTER,2,2026-04-24T23:12:15.541000+00:00,2026-04-24T23:17:15.821000+00:00,2.45315,0.001145635,770113.3,5424.759395,-0.0977362883644,92.5604407032,"BUY flow cluster @ 2.4509  x46  $13,046"
sol-usdc,FLOW_CLUSTER,46,2026-04-24T19:31:48.031000+00:00,2026-04-24T23:17:00.292000+00:00,86.3882608696,-0.0019051173913,3211347.56087,-73933.1939348,-0.116636879628,35.7957121032,"SELL flow cluster @ 86.0838  x846  $2,238,492"
sol-usdc,THIN_BOOK,2,2026-04-24T20:32:44.191000+00:00,2026-04-24T21:14:22.483000+00:00,86.5025,-0.0015362,3214913.43,67153.663775,-0.165190916946,58.9851434061,impact excess 12.9bp over spread
